source,calendar_year,sm_league_id,league_name,tier,n_events,earliest_kickoff,latest_kickoff,n_with_final_score,n_with_any_prematch_odds
raw_sportmonks_fixtures,2023,938,Stars League,unknown,72,2023-08-16 15:30:00-05:00,2023-12-21 16:30:00-05:00,,
raw_sportmonks_fixtures,2023,944,Pro League,unknown,170,2023-08-11 18:00:00-05:00,2023-12-30 18:00:00-05:00,,
raw_sportmonks_fixtures,2023,950,Kings Cup,unknown,27,2023-09-24 15:00:00-05:00,2023-12-11 18:00:00-05:00,,
raw_sportmonks_fixtures,2023,959,UAE Pro League,unknown,84,2023-08-18 14:00:00-05:00,2023-12-24 15:30:00-05:00,,
raw_sportmonks_fixtures,2023,1007,Indian Super League,unknown,68,2023-09-21 14:30:00-05:00,2023-12-29 14:30:00-05:00,,
raw_sportmonks_fixtures,2023,1073,V-League,unknown,56,2023-10-20 11:00:00-05:00,2023-12-27 12:15:00-05:00,,
raw_sportmonks_fixtures,2023,1085,AFC Champions League Elite,unknown,133,2023-08-15 11:30:00-05:00,2023-12-13 10:00:00-05:00,,
raw_sportmonks_fixtures,2023,1088,AFC Champions League Two,unknown,121,2023-08-08 11:45:00-05:00,2023-12-14 14:00:00-05:00,,
raw_sportmonks_fixtures,2023,1107,CAF Champions League,unknown,107,2023-08-18 13:00:00-05:00,2023-12-20 13:00:00-05:00,,
raw_sportmonks_fixtures,2023,1329,,,144,2023-09-19 11:00:00-05:00,2023-12-13 15:00:00-05:00,,
raw_sportmonks_fixtures,2023,1356,A-League Men,unknown,59,2023-10-20 08:45:00-05:00,2023-12-31 08:00:00-05:00,,
raw_sportmonks_fixtures,2023,1419,,,109,2023-09-06 08:00:00-05:00,2023-12-21 20:00:00-05:00,,
raw_sportmonks_fixtures,2023,1583,,,57,2023-10-14 06:00:00-05:00,2023-12-31 06:00:00-05:00,,
raw_sportmonks_fixtures,2023,1658,Copa de la Superliga,unknown,204,2023-08-17 22:30:00-05:00,2023-12-17 00:00:00-05:00,,
raw_sportmonks_fixtures,2024,8,Premier League,S,372,2024-01-01 20:00:00-05:00,2024-12-30 20:00:00-05:00,,
raw_sportmonks_fixtures,2024,9,Championship,B,541,2024-01-01 12:30:00-05:00,2024-12-29 20:00:00-05:00,,
raw_sportmonks_fixtures,2024,12,League One,unknown,537,2024-01-01 15:00:00-05:00,2024-12-29 15:00:00-05:00,,
raw_sportmonks_fixtures,2024,14,League Two,unknown,533,2024-01-01 15:00:00-05:00,2024-12-30 20:00:00-05:00,,
raw_sportmonks_fixtures,2024,17,Enterprise National League,unknown,536,2024-01-01 15:00:00-05:00,2024-12-31 15:00:00-05:00,,
raw_sportmonks_fixtures,2024,23,Community Shield,unknown,1,2024-08-10 14:00:00-05:00,2024-08-10 14:00:00-05:00,,
raw_sportmonks_fixtures,2024,24,FA Cup,unknown,885,2024-01-04 20:00:00-05:00,2024-12-01 15:15:00-05:00,,
raw_sportmonks_fixtures,2024,27,Carabao Cup,unknown,93,2024-01-09 20:00:00-05:00,2024-12-19 20:00:00-05:00,,
raw_sportmonks_fixtures,2024,45,,,132,2024-01-19 19:00:00-05:00,2024-12-15 14:30:00-05:00,,
raw_sportmonks_fixtures,2024,72,Eredivisie,A,317,2024-01-12 19:00:00-05:00,2024-12-22 15:45:00-05:00,,
raw_sportmonks_fixtures,2024,74,Eerste Divisie,unknown,381,2024-01-12 19:00:00-05:00,2024-12-23 19:00:00-05:00,,
raw_sportmonks_fixtures,2024,78,KNVB Beker,unknown,110,2024-01-16 17:45:00-05:00,2024-12-19 20:00:00-05:00,,
raw_sportmonks_fixtures,2024,82,Bundesliga,S,298,2024-01-12 19:30:00-05:00,2024-12-22 16:30:00-05:00,,
raw_sportmonks_fixtures,2024,85,2. Bundesliga,B,306,2024-01-19 17:30:00-05:00,2024-12-22 12:30:00-05:00,,
raw_sportmonks_fixtures,2024,88,3. Liga,unknown,373,2024-01-19 18:00:00-05:00,2024-12-22 18:30:00-05:00,,
raw_sportmonks_fixtures,2024,109,DFB Pokal,unknown,63,2024-01-30 19:45:00-05:00,2024-12-04 19:45:00-05:00,,
raw_sportmonks_fixtures,2024,181,Admiral Bundesliga,unknown,189,2024-02-09 19:30:00-05:00,2024-12-14 16:00:00-05:00,,
raw_sportmonks_fixtures,2024,208,Pro League,A,313,2024-01-19 19:45:00-05:00,2024-12-27 19:45:00-05:00,,
raw_sportmonks_fixtures,2024,211,Challenger Pro League,unknown,246,2024-01-12 19:00:00-05:00,2024-12-22 18:15:00-05:00,,
raw_sportmonks_fixtures,2024,229,First League,unknown,276,2024-02-16 15:30:00-05:00,2024-12-19 15:00:00-05:00,,
raw_sportmonks_fixtures,2024,244,1. HNL,unknown,178,2024-01-23 16:00:00-05:00,2024-12-22 16:30:00-05:00,,
raw_sportmonks_fixtures,2024,262,Chance Liga,unknown,281,2024-02-10 14:00:00-05:00,2024-12-15 17:30:00-05:00,,
raw_sportmonks_fixtures,2024,271,Superliga,unknown,193,2024-02-16 18:00:00-05:00,2024-12-02 18:00:00-05:00,,
raw_sportmonks_fixtures,2024,274,First Division,unknown,192,2024-02-23 18:00:00-05:00,2024-12-02 17:30:00-05:00,,
raw_sportmonks_fixtures,2024,292,Veikkausliiga,unknown,167,2024-04-06 12:00:00-05:00,2024-11-02 12:30:00-05:00,,
raw_sportmonks_fixtures,2024,301,Ligue 1,S,289,2024-01-12 20:00:00-05:00,2024-12-18 20:00:00-05:00,,
raw_sportmonks_fixtures,2024,304,Ligue 2,B,336,2024-01-13 14:00:00-05:00,2024-12-16 19:45:00-05:00,,
raw_sportmonks_fixtures,2024,307,Coupe de France,unknown,231,2024-01-05 17:00:00-05:00,2024-12-22 20:00:00-05:00,,
raw_sportmonks_fixtures,2024,325,Super League,unknown,247,2024-01-03 14:00:00-05:00,2024-12-23 16:00:00-05:00,,
raw_sportmonks_fixtures,2024,334,NB I,unknown,197,2024-02-02 19:00:00-05:00,2024-12-15 14:30:00-05:00,,
raw_sportmonks_fixtures,2024,360,Premier Division,unknown,180,2024-02-16 19:45:00-05:00,2024-11-01 19:45:00-05:00,,
raw_sportmonks_fixtures,2024,372,Ligat ha'Al,unknown,258,2024-01-02 17:00:00-05:00,2024-12-31 18:00:00-05:00,,
raw_sportmonks_fixtures,2024,384,Serie A,S,378,2024-01-05 19:45:00-05:00,2024-12-30 19:45:00-05:00,,
raw_sportmonks_fixtures,2024,387,Serie B,B,400,2024-01-12 19:30:00-05:00,2024-12-29 18:30:00-05:00,,
raw_sportmonks_fixtures,2024,390,Coppa Italia,unknown,49,2024-01-02 20:00:00-05:00,2024-12-19 20:00:00-05:00,,
raw_sportmonks_fixtures,2024,444,Eliteserien,unknown,240,2024-03-31 16:00:00-05:00,2024-12-01 16:00:00-05:00,,
raw_sportmonks_fixtures,2024,453,Ekstraklasa,A,300,2024-02-09 17:00:00-05:00,2024-12-14 16:30:00-05:00,,
raw_sportmonks_fixtures,2024,462,Liga Portugal,A,315,2024-01-05 18:45:00-05:00,2024-12-30 20:15:00-05:00,,
raw_sportmonks_fixtures,2024,465,Liga Portugal 2,unknown,308,2024-01-06 11:00:00-05:00,2024-12-29 15:30:00-05:00,,
raw_sportmonks_fixtures,2024,468,Taça De Portugal,unknown,151,2024-01-09 18:45:00-05:00,2024-12-21 14:00:00-05:00,,
raw_sportmonks_fixtures,2024,474,Superliga,unknown,317,2024-01-19 15:00:00-05:00,2024-12-23 18:00:00-05:00,,
raw_sportmonks_fixtures,2024,486,Premier League,unknown,240,2024-03-01 16:00:00-05:00,2024-12-08 16:30:00-05:00,,
raw_sportmonks_fixtures,2024,489,FNL,unknown,315,2024-03-02 08:30:00-05:00,2024-12-01 16:30:00-05:00,,
raw_sportmonks_fixtures,2024,492,Russian Cup,unknown,171,2024-03-12 15:00:00-05:00,2024-11-28 16:30:00-05:00,,
raw_sportmonks_fixtures,2024,501,Premiership,A,227,2024-01-02 15:00:00-05:00,2024-12-29 17:15:00-05:00,,
raw_sportmonks_fixtures,2024,513,Premiership Play-Offs,unknown,6,2024-05-07 18:45:00-05:00,2024-05-26 11:00:00-05:00,,
raw_sportmonks_fixtures,2024,531,Super Liga,unknown,304,2024-02-09 14:30:00-05:00,2024-12-26 12:00:00-05:00,,
raw_sportmonks_fixtures,2024,540,Niké Liga,unknown,192,2024-02-09 16:30:00-05:00,2024-12-15 14:30:00-05:00,,
raw_sportmonks_fixtures,2024,564,La Liga,S,381,2024-01-02 16:00:00-05:00,2024-12-22 20:00:00-05:00,,
raw_sportmonks_fixtures,2024,567,La Liga 2,B,466,2024-01-12 19:30:00-05:00,2024-12-22 20:00:00-05:00,,
raw_sportmonks_fixtures,2024,570,Copa Del Rey,unknown,126,2024-01-06 15:00:00-05:00,2024-12-05 20:00:00-05:00,,
raw_sportmonks_fixtures,2024,573,Allsvenskan,A,240,2024-03-30 14:00:00-05:00,2024-11-10 14:15:00-05:00,,
raw_sportmonks_fixtures,2024,591,Super League,unknown,228,2024-01-20 17:00:00-05:00,2024-12-15 15:30:00-05:00,,
raw_sportmonks_fixtures,2024,600,Super Lig,A,363,2024-01-05 14:00:00-05:00,2024-12-23 17:00:00-05:00,,
raw_sportmonks_fixtures,2024,603,1. Lig,unknown,328,2024-01-12 17:00:00-05:00,2024-12-23 17:00:00-05:00,,
raw_sportmonks_fixtures,2024,609,Premier League,unknown,246,2024-02-23 13:30:00-05:00,2024-12-16 11:00:00-05:00,,
raw_sportmonks_fixtures,2024,636,Liga Profesional de Fútbol,A,379,2024-04-28 18:30:00-05:00,2024-12-17 00:00:00-05:00,,
raw_sportmonks_fixtures,2024,648,Serie A,A,380,2024-04-13 21:30:00-05:00,2024-12-08 19:00:00-05:00,,
raw_sportmonks_fixtures,2024,651,Serie B,unknown,380,2024-04-19 22:00:00-05:00,2024-11-24 21:30:00-05:00,,
raw_sportmonks_fixtures,2024,654,Copa do Brasil,unknown,122,2024-02-20 19:30:00-05:00,2024-11-10 19:00:00-05:00,,
raw_sportmonks_fixtures,2024,663,Primera Division,A,240,2024-02-17 00:30:00-05:00,2024-11-10 19:00:00-05:00,,
raw_sportmonks_fixtures,2024,672,Liga BetPlay,A,432,2024-01-19 23:00:00-05:00,2024-12-22 23:00:00-05:00,,
raw_sportmonks_fixtures,2024,723,,,15,2024-09-05 22:00:00-05:00,2024-11-18 06:30:00-05:00,,
raw_sportmonks_fixtures,2024,743,Liga MX,A,340,2024-01-13 01:00:00-05:00,2024-12-16 01:00:00-05:00,,
raw_sportmonks_fixtures,2024,764,Primera Division,unknown,306,2024-01-26 20:00:00-05:00,2024-11-03 20:00:00-05:00,,
raw_sportmonks_fixtures,2024,770,Primera Division,unknown,297,2024-02-16 23:30:00-05:00,2024-12-02 22:00:00-05:00,,
raw_sportmonks_fixtures,2024,779,Major League Soccer,A,522,2024-02-22 01:00:00-05:00,2024-12-07 21:00:00-05:00,,
raw_sportmonks_fixtures,2024,806,Premier League,unknown,201,2024-02-16 17:30:00-05:00,2024-12-29 15:45:00-05:00,,
raw_sportmonks_fixtures,2024,809,Ligue 1,unknown,267,2024-01-05 14:15:00-05:00,2024-12-28 14:00:00-05:00,,
raw_sportmonks_fixtures,2024,827,Ligue 1,unknown,240,2024-02-24 15:30:00-05:00,2024-12-31 18:00:00-05:00,,
raw_sportmonks_fixtures,2024,830,Premier League,unknown,283,2024-01-01 14:00:00-05:00,2024-12-31 13:00:00-05:00,,
raw_sportmonks_fixtures,2024,860,Botola Pro,unknown,265,2024-01-03 15:00:00-05:00,2024-12-29 19:00:00-05:00,,
raw_sportmonks_fixtures,2024,902,Persian Gulf Pro League,unknown,236,2024-01-01 12:00:00-05:00,2024-12-27 14:30:00-05:00,,
raw_sportmonks_fixtures,2024,938,Stars League,unknown,126,2024-02-24 15:00:00-05:00,2024-12-08 16:30:00-05:00,,
raw_sportmonks_fixtures,2024,944,Pro League,unknown,253,2024-02-07 18:00:00-05:00,2024-12-07 17:00:00-05:00,,
raw_sportmonks_fixtures,2024,950,Kings Cup,unknown,28,2024-02-04 15:15:00-05:00,2024-10-30 15:05:00-05:00,,
raw_sportmonks_fixtures,2024,959,UAE Pro League,unknown,167,2024-02-13 13:25:00-05:00,2024-12-17 15:30:00-05:00,,
raw_sportmonks_fixtures,2024,968,J1 League,A,380,2024-02-23 05:00:00-05:00,2024-12-08 05:00:00-05:00,,
raw_sportmonks_fixtures,2024,983,,,39,2024-06-15 00:00:00-05:00,2024-10-13 19:00:00-05:00,,
raw_sportmonks_fixtures,2024,989,Super League,unknown,240,2024-03-01 10:00:00-05:00,2024-11-02 07:30:00-05:00,,
raw_sportmonks_fixtures,2024,1007,Indian Super League,unknown,155,2024-01-31 14:00:00-05:00,2024-12-30 14:00:00-05:00,,
raw_sportmonks_fixtures,2024,1034,K League 1,A,228,2024-03-01 05:00:00-05:00,2024-11-24 05:00:00-05:00,,
raw_sportmonks_fixtures,2024,1073,V-League,unknown,189,2024-02-17 11:00:00-05:00,2024-11-20 12:15:00-05:00,,
raw_sportmonks_fixtures,2024,1082,,,294,2024-01-01 05:00:00-05:00,2024-12-21 07:00:00-05:00,,
raw_sportmonks_fixtures,2024,1085,AFC Champions League Elite,unknown,105,2024-02-13 10:00:00-05:00,2024-12-04 12:00:00-05:00,,
raw_sportmonks_fixtures,2024,1088,AFC Champions League Two,unknown,113,2024-02-12 16:00:00-05:00,2024-12-05 12:00:00-05:00,,
raw_sportmonks_fixtures,2024,1101,,,124,2024-01-06 11:30:00-05:00,2024-11-15 17:00:00-05:00,,
raw_sportmonks_fixtures,2024,1107,CAF Champions League,unknown,141,2024-02-16 19:00:00-05:00,2024-12-22 16:00:00-05:00,,
