shadow_pick_id,source_run_key,operating_day_key,bt2_event_id,sm_fixture_id,sm_league_id,league_name,legacy_exclusion,shadow_native_exclusion,legacy_eligible,shadow_native_eligible
425,shadow-subset5-backfill-2026-03,2026-03-01,,19425147,384,Serie A,missing_bt2_event_id,eligible_shadow_native,False,True
434,shadow-subset5-backfill-2026-03,2026-03-01,,19439501,564,La Liga,missing_bt2_event_id,eligible_shadow_native,False,True
435,shadow-subset5-backfill-2026-03,2026-03-01,,19439509,564,La Liga,missing_bt2_event_id,eligible_shadow_native,False,True
436,shadow-subset5-backfill-2026-03,2026-03-01,,19439506,564,La Liga,missing_bt2_event_id,eligible_shadow_native,False,True
437,shadow-subset5-backfill-2026-03,2026-03-01,,19439502,564,La Liga,missing_bt2_event_id,eligible_shadow_native,False,True
426,shadow-subset5-backfill-2026-03,2026-03-02,,19425146,384,Serie A,missing_bt2_event_id,eligible_shadow_native,False,True
427,shadow-subset5-backfill-2026-03,2026-03-02,,19425150,384,Serie A,missing_bt2_event_id,eligible_shadow_native,False,True
438,shadow-subset5-backfill-2026-03,2026-03-02,,19439507,564,La Liga,missing_bt2_event_id,eligible_shadow_native,False,True
390,shadow-subset5-backfill-2026-03,2026-03-03,,19427166,8,Premier League,missing_bt2_event_id,eligible_shadow_native,False,True
391,shadow-subset5-backfill-2026-03,2026-03-03,,19427168,8,Premier League,missing_bt2_event_id,eligible_shadow_native,False,True
392,shadow-subset5-backfill-2026-03,2026-03-03,,19427170,8,Premier League,missing_bt2_event_id,eligible_shadow_native,False,True
393,shadow-subset5-backfill-2026-03,2026-03-03,,19427174,8,Premier League,missing_bt2_event_id,eligible_shadow_native,False,True
394,shadow-subset5-backfill-2026-03,2026-03-04,,19427165,8,Premier League,missing_bt2_event_id,eligible_shadow_native,False,True
395,shadow-subset5-backfill-2026-03,2026-03-04,,19427167,8,Premier League,missing_bt2_event_id,eligible_shadow_native,False,True
396,shadow-subset5-backfill-2026-03,2026-03-04,,19427169,8,Premier League,missing_bt2_event_id,eligible_shadow_native,False,True
397,shadow-subset5-backfill-2026-03,2026-03-04,,19427171,8,Premier League,missing_bt2_event_id,eligible_shadow_native,False,True
401,shadow-subset5-backfill-2026-03,2026-03-04,,19433623,82,Bundesliga,missing_bt2_event_id,eligible_shadow_native,False,True
439,shadow-subset5-backfill-2026-03,2026-03-04,,19439475,564,La Liga,missing_bt2_event_id,eligible_shadow_native,False,True
402,shadow-subset5-backfill-2026-03,2026-03-06,,19433695,82,Bundesliga,missing_bt2_event_id,shadow_native_value_pool_failed,False,False
